PSGC,REGION,PROVINCE_FIRE_DISTRICT,CONGRESSIONAL_DISTRICT,CITY_MUNICIPALITY,YEAR,INCIDENTS,INJURIES,DEATHS,ESTIMATED_DAMAGES
104313000,10,MISAMIS ORIENTAL,1ST,LAGONGLONG,2014,0,0,0,0.0
104313000,10,MISAMIS ORIENTAL,1ST,LAGONGLONG,2015,1,0,0,700000.0
104313000,10,MISAMIS ORIENTAL,1ST,LAGONGLONG,2016,0,0,0,0.0
104314000,10,MISAMIS ORIENTAL,2ND,LAGUINDINGAN,2012,0,0,0,0.0
104314000,10,MISAMIS ORIENTAL,2ND,LAGUINDINGAN,2013,0,0,0,0.0
104314000,10,MISAMIS ORIENTAL,2ND,LAGUINDINGAN,2014,1,0,0,150000.0
104314000,10,MISAMIS ORIENTAL,2ND,LAGUINDINGAN,2015,1,0,0,0.0
104314000,10,MISAMIS ORIENTAL,2ND,LAGUINDINGAN,2016,0,0,0,0.0
104315000,10,MISAMIS ORIENTAL,2ND,LIBERTAD,2012,0,0,0,0.0
104315000,10,MISAMIS ORIENTAL,2ND,LIBERTAD,2013,0,0,0,0.0
104315000,10,MISAMIS ORIENTAL,2ND,LIBERTAD,2014,0,0,0,0.0
104315000,10,MISAMIS ORIENTAL,2ND,LIBERTAD,2015,1,0,0,20000.0
104315000,10,MISAMIS ORIENTAL,2ND,LIBERTAD,2016,1,0,0,8000.0
104316000,10,MISAMIS ORIENTAL,2ND,LUGAIT,2012,2,1,0,65000.0
104316000,10,MISAMIS ORIENTAL,2ND,LUGAIT,2013,2,0,0,70500.0
104316000,10,MISAMIS ORIENTAL,2ND,LUGAIT,2014,3,0,0,12800.0
104316000,10,MISAMIS ORIENTAL,2ND,LUGAIT,2015,10,0,0,390420.0
104316000,10,MISAMIS ORIENTAL,2ND,LUGAIT,2016,6,0,0,153250.0
104317000,10,MISAMIS ORIENTAL,1ST,MAGSAYSAY (LINUGOS),2012,1,0,0,5000.0
104317000,10,MISAMIS ORIENTAL,1ST,MAGSAYSAY (LINUGOS),2013,0,0,0,0.0
104317000,10,MISAMIS ORIENTAL,1ST,MAGSAYSAY (LINUGOS),2014,1,0,0,30000.0
104317000,10,MISAMIS ORIENTAL,1ST,MAGSAYSAY (LINUGOS),2015,0,0,0,0.0
104317000,10,MISAMIS ORIENTAL,1ST,MAGSAYSAY (LINUGOS),2016,0,0,0,0.0
104318000,10,MISAMIS ORIENTAL,2ND,MANTICAO,2012,2,0,0,100000.0
104318000,10,MISAMIS ORIENTAL,2ND,MANTICAO,2013,5,0,0,171500.0
104318000,10,MISAMIS ORIENTAL,2ND,MANTICAO,2014,6,0,0,382500.0
104318000,10,MISAMIS ORIENTAL,2ND,MANTICAO,2015,8,0,0,304900.0
104318000,10,MISAMIS ORIENTAL,2ND,MANTICAO,2016,4,0,0,79500.0
104319000,10,MISAMIS ORIENTAL,1ST,MEDINA,2012,2,1,0,153500.0
104319000,10,MISAMIS ORIENTAL,1ST,MEDINA,2013,3,0,0,1510000.0
104319000,10,MISAMIS ORIENTAL,1ST,MEDINA,2014,5,0,0,8500.0
104319000,10,MISAMIS ORIENTAL,1ST,MEDINA,2015,3,0,0,154000.0
104319000,10,MISAMIS ORIENTAL,1ST,MEDINA,2016,6,0,0,365050.0
104320000,10,MISAMIS ORIENTAL,2ND,NAAWAN,2012,5,0,0,311500.0
104320000,10,MISAMIS ORIENTAL,2ND,NAAWAN,2013,8,0,0,365100.0
104320000,10,MISAMIS ORIENTAL,2ND,NAAWAN,2014,3,0,0,37000.0
104320000,10,MISAMIS ORIENTAL,2ND,NAAWAN,2015,8,0,2,164700.0
104320000,10,MISAMIS ORIENTAL,2ND,NAAWAN,2016,6,0,0,66000.0
104321000,10,MISAMIS ORIENTAL,2ND,OPOL,2012,0,0,0,0.0
104321000,10,MISAMIS ORIENTAL,2ND,OPOL,2013,7,1,0,214000.0
104321000,10,MISAMIS ORIENTAL,2ND,OPOL,2014,18,0,0,96600.0
104321000,10,MISAMIS ORIENTAL,2ND,OPOL,2015,39,1,0,6612300.0
104321000,10,MISAMIS ORIENTAL,2ND,OPOL,2016,20,0,0,2072800.0
104322000,10,MISAMIS ORIENTAL,1ST,SALAY,2012,4,1,0,439000.0
104322000,10,MISAMIS ORIENTAL,1ST,SALAY,2013,2,0,0,50000.0
104322000,10,MISAMIS ORIENTAL,1ST,SALAY,2014,3,0,0,2382000.0
